Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
N??1 in AVIGNON design quiet AC wifi citycenter,Avignon,ENTIRE APARTMENT,4 guests,"['1 bedroom', '3 beds', '1 bath']",$52 per night,"['Air conditioning', 'Cable TV', 'Dryer', 'Ethernet connection', 'Essentials', 'Heating']",441,Rating 5 out of 5
A quiet yurt in Savoie - Bauges,Bellecombe-en-Bauges,YURT,6 guests,"['1 bedroom', '6 beds']",$81 per night,"['Indoor fireplace', 'Heating', 'Free parking on premises', 'Kitchen']",280,Rating 4.5 out of 5
CHARMING HOUSE Seaside& Pine Forest,Labenne,ENTIRE VILLA,8 guests,"['3 bedrooms', '4 beds', '2 baths']",$180 per night,"['Cable TV', 'Dryer', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace']",83,Rating 5 out of 5
Superb duplex apartment in the historical centre,Bordeaux,ENTIRE LOFT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$120 per night,"['Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV', 'Essentials']",193,Rating 5 out of 5
Superbe studio Centre ville 40 m2,"Jardin Public - Chartrons, Bordeaux",ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$64 per night,"['Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV', 'Essentials']",175,Rating 5 out of 5
DUPLEX hypercentre Terrasse+Parking (optional),Bordeaux,ENTIRE APARTMENT,2 guests,"['1 bedroom', '2 beds', '1 bath']",$88 per night,"['Wifi', 'Kitchen', 'Cable TV', 'Dryer', 'Laptop friendly workspace', 'TV']",165,Rating 5 out of 5
St Pierre/Magnifique Suite rue de la Merci,Bordeaux,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$91 per night,"['Air conditioning', 'Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV']",115,Rating 5 out of 5
Small house in Paris Center,Paris-2E-Arrondissement,ENTIRE HOUSE,5 guests,"['1 bedroom', '4 beds', '1 bath']",$139 per night,"['Elevator', 'Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Cable TV']",232,Rating 4.5 out of 5
Lovely flat*** Ste Catherine street,Bordeaux,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$87 per night,"['Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV', 'Essentials']",145,Rating 4.5 out of 5
"Little house in Paris, Loft, Canal",Paris,ENTIRE LOFT,11 guests,"['4 bedrooms', '8 beds', '2.5 baths']",$561 per night,"['Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Iron', 'Hair dryer']",157,Rating 5 out of 5
Cosy Apartment in Rue des Rosiers,Paris,ENTIRE APARTMENT,4 guests,"['Studio', '2 beds', '1 bath']",$150 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Cable TV', 'Iron', 'Hair dryer']",268,Rating 5 out of 5
Stone studio in the old Bordeaux,Bordeaux,ENTIRE APARTMENT,4 guests,"['Studio', '2 beds', '1 bath']",$64 per night,"['Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV', 'Essentials']",261,Rating 5 out of 5
Charming loft Canal Saint Martin,Paris,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$80 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Hair dryer', 'Hangers']",252,Rating 4.5 out of 5
Cozy Studio with Balcony Bordeaux,Bordeaux,ENTIRE APARTMENT,4 guests,"['Studio', '2 beds', '1 bath']",$69 per night,"['Air conditioning', 'Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV']",155,Rating 5 out of 5
Incredibly charming house in a fantastic location,Bordeaux,ENTIRE HOUSE,7 guests,"['3 bedrooms', '4 beds', '2 baths']",$205 per night,"['Indoor fireplace', 'Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'TV']",139,Rating 5 out of 5
A PARIS OPERA LOFT 3 ROOMS Loft 4/6 pers,Paris,ENTIRE LOFT,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$193 per night,"['Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Cable TV', 'Iron']",381,Rating 4.5 out of 5
"CENTER OF PARIS,BEAUTIFUL FLAT",Paris,ENTIRE APARTMENT,4 guests,"['2 bedrooms', '1 bed', '1 bath']",$139 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Hair dryer', 'Washer']",214,Rating 4.5 out of 5
"Gambetta's View. 50m2, comfort",Bordeaux,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1.5 baths']",$91 per night,"['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace', 'TV']",142,Rating 5 out of 5
Chic & stylish apartment superbly located.,Bordeaux,ENTIRE APARTMENT,6 guests,"['2 bedrooms', '2 beds', '2 baths']",$208 per night,"['Indoor fireplace', 'Wifi', 'Kitchen', 'Cable TV', 'Dryer', 'Laptop friendly workspace']",128,Rating 5 out of 5
BEAUTIFUL APARTMENT PARIS BASTILLE,Paris,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$221 per night,"['Wifi', 'Kitchen', 'Breakfast', 'Laptop friendly workspace', 'Cable TV', 'Iron']",332,Rating 5 out of 5
Charming Eiffel Tower Houseboat,Paris,BOAT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$231 per night,"['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Hair dryer']",124,Rating 5 out of 5
"""Home sweet Home"" Duplex in Mansion",Paris,ENTIRE APARTMENT,11 guests,"['5 bedrooms', '6 beds', '2.5 baths']",$405 per night,"['Elevator', 'Air conditioning', 'Wifi', 'Kitchen', 'Breakfast', 'Dryer']",203,Rating 5 out of 5
GORGEOUS FLAT HISTORIC CENTER,Bordeaux,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$98 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'TV', 'Essentials', 'Washer']",196,Rating 5 out of 5
Amazing T3 downtown + parking free,Bordeaux,ENTIRE LOFT,4 guests,"['2 bedrooms', '2 beds', '2 baths']",$121 per night,"['Free parking on premises', 'Indoor fireplace', 'Wifi', 'Kitchen', 'Cable TV', 'Laptop friendly workspace']",253,Rating 5 out of 5
Luxury Urban Duplex Loft,Paris,ENTIRE LOFT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$184 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Cable TV', 'Iron', 'Hair dryer']",292,Rating 4.5 out of 5
Penthouse w the best view of Paris,Paris,ENTIRE LOFT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$382 per night,"['Elevator', 'Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Cable TV']",120,Rating 5 out of 5
Notre Dame - Beneath Paris Rooftops,Paris,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$162 per night,"['Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Cable TV', 'Iron']",292,Rating 5 out of 5
"Room, near city, with private bathroom + breakfast",Bordeaux,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$49 per night,"['Wifi', 'Kitchen', 'Breakfast', 'Cable TV', 'Laptop friendly workspace', 'TV']",272,Rating 5 out of 5
Design Flat 2min of the Beach !!!,Cannes,ENTIRE APARTMENT,2 guests,"['1 bedroom', '2 beds', '1 bath']",$98 per night,"['Indoor fireplace', 'Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Air conditioning']",255,Rating 4.5 out of 5
GOLDEN ISLAND Charming Beach house,Loix,ENTIRE COTTAGE,6 guests,"['2 bedrooms', '2 beds', '2 baths']",$59 per night,"['Cable TV', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",107,Rating 5 out of 5
Charming Olive Farm Cottage 2 - 7,Conques-sur-Orbiel,ENTIRE HOUSE,6 guests,"['2 bedrooms', '4 beds', '2 baths']",$64 per night,"['Cable TV', 'Essentials', 'Indoor fireplace', 'Iron', 'TV', 'Washer']",255,Rating 5 out of 5
Belle Villa 5 min from Gap in a peacefull area,Gap,ENTIRE VILLA,10 guests,"['4 bedrooms', '6 beds', '2 baths']",$86 per night,"['Dryer', 'Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace']",110,Rating 5 out of 5
Vue mer et piscine couverte,Plouha,ENTIRE APARTMENT,4 guests,"['2 bedrooms', '3 beds', '1 bath']",$66 per night,"['Dryer', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",137,Rating 5 out of 5
joli studio cocooning. Insolite !,Lyon,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$59 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'TV', 'Hangers', 'Hair dryer']",533,Rating 4.5 out of 5
Grand appartement sur la plage,La Turballe,ENTIRE APARTMENT,5 guests,"['2 bedrooms', '3 beds', '1 bath']",$58 per night,"['Dryer', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Washer']",42,Rating 5 out of 5
maison de ville aux minimes,Toulouse,ENTIRE TOWNHOUSE,4 guests,"['1 bedroom', '1 bed', '1 bath']",$56 per night,"['Wifi', 'Kitchen', 'Air conditioning', 'Iron', 'TV', 'Laptop friendly workspace']",325,Rating 5 out of 5
"Charming Mansion from 17th, Pool, Great Views",Lauzun,ENTIRE VILLA,16+ guests,"['6 bedrooms', '11 beds', '4.5 baths']",$341 per night,"['Wifi', 'Kitchen', 'Free parking on premises', 'Dryer', 'Indoor fireplace', 'Pool']",40,Rating 4.5 out of 5
Maison 8p. / Piscine 800m de la mer,Saint-Gilles-Croix-de-Vie,ENTIRE VILLA,8 guests,"['3 bedrooms', '6 beds', '3 baths']",$156 per night,"['Cable TV', 'Dryer', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace']",64,Rating 5 out of 5
Sunny Apt 2 min from Beach,Cagnes-sur-Mer,ENTIRE CONDOMINIUM,2 guests,"['Studio', '1 bed', '1 bath']",$45 per night,"['Cable TV', 'Essentials', 'Heating', 'Iron', 'TV', 'Wifi']",241,Rating 4.5 out of 5
Central apt at the Canal St Martin,Paris,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$93 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Cable TV', 'Iron', 'Hair dryer']",188,Rating 5 out of 5
