Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
[HongDae] 1min from Hongik Unv. Stn,Mapo-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$65 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",162,Rating 5 out of 5
#1 Connected to Mapo Stn./HAN River view/Hongdae,Mapo-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '1 bed', '1 bath']",$53 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",159,Rating 5 out of 5
?? Myeong Dong ?? Portable Wifi #1 ??,Jung-gu,ENTIRE HOUSE,3 guests,"['1 bedroom', '2 beds', '1 bath']",$60 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",194,Rating 5 out of 5
Lavi's House??Free Egg??30sec from the station,Seoul,ENTIRE LOFT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$59 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",115,Rating 5 out of 5
MyeongDong 803 ??Big City Window?? +Free WiFi,Jongno-gu,ENTIRE CONDOMINIUM,2 guests,"['1 bedroom', '1 bed', '1 bath']",$42 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",109,Rating 4.5 out of 5
Mapo basecamp,Mapo-gu,ENTIRE TOWNHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$30 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",40,Rating 5 out of 5
Just Seoul Stn. relax cozy place,??????????,ENTIRE LOFT,4 guests,"['Studio', '2 beds', '1 bath']",$57 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",137,Rating 5 out of 5
Seoul Station !NEW OPEN! Free Gym 2,Yongsan-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$41 per night,"['Free parking on premises', 'Elevator', 'Gym', 'Kitchen', 'Wifi', 'Dryer']",101,Rating 4.5 out of 5
[Myeong-dong] Modern Duplex,Jongno-gu,ENTIRE APARTMENT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$49 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",82,Rating 5 out of 5
LA VIE EN ROSE / Myeong-dong,Jung-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$55 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",131,Rating 5 out of 5
Moonhouse#501 *Near Hongdae*,Mapo-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$47 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",101,Rating 5 out of 5
[3] Center of Myeongdong&Hongdae,Seoul,ENTIRE LOFT,5 guests,"['Studio', '2 beds', '1 bath']",$49 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",219,Rating 4.5 out of 5
With private terrace! @ Hongdae,Mapo-gu,ENTIRE LOFT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$53 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",199,Rating 5 out of 5
